name,map,Rprec,recip_rank,P_5,P_10,recall_5,recall_10,ndcg_cut_10,time (s)
"BM25(k1=1.5,b=0.25)+MeSH+KL+BioBERT",0.037957600365396936,0.06418022631597936,0.14686265496896858,0.084375,0.0875,0.012155139722982732,0.023567076358551344,0.07655254542116219,1209.88
"BM25(k1=2.0,b=0.25)+MeSH",0.03633301950454886,0.056935419895738984,0.16406568718831452,0.08125000000000003,0.06718750000000001,0.016328673935846423,0.029839604928628593,0.07439997299968633,997.35
"BM25(k1=2.0,b=0.25)+MeSH+KL+BioBERT",0.036099645189405505,0.06349940545191862,0.12553083058476913,0.078125,0.0796875,0.011313609929247057,0.021614287761922417,0.068302520466867,1078.79
"BM25(k1=2.0,b=0.25)+MeSH+Bo1+PubMedBERT",0.035726912368956705,0.06048459022425071,0.1320712140576629,0.07500000000000001,0.065625,0.012941740762174313,0.01777410100793077,0.062334012174556426,1143.83
"BM25(k1=2.0,b=0.25)+MeSH+PubMedBERT",0.035577275205405504,0.055858632192425706,0.16475141290541456,0.07500000000000001,0.06874999999999998,0.016769852441687633,0.02620635666799583,0.06979273055390059,1055.13
"BM25(k1=1.5,b=0.25)+MeSH+Bo1+PubMedBERT",0.03528221611143044,0.05996252912446337,0.12536258896686361,0.06875,0.06874999999999999,0.011220122838689128,0.019090581547515025,0.06181708098092457,1800.61
"BM25(k1=2.0,b=0.25)+MeSH+KL+PubMedBERT",0.03409408720854691,0.05910266409859506,0.1285007050130659,0.075,0.05625,0.012318516939295115,0.015558600519685762,0.058110017715404215,1076.76
"BM25(k1=1.5,b=0.25)+MeSH+KL+PubMedBERT",0.03397664263333264,0.06094282693006221,0.12493189620068418,0.059375000000000004,0.05625,0.007398459974201387,0.016249666419729986,0.05519257010959104,1198.15
"BM25(k1=1.5,b=0.25)+MeSH",0.03396549740032176,0.05059590082700409,0.12180464338489842,0.08437500000000003,0.06093750000000001,0.01641413983488991,0.027149481020673803,0.06395692196284325,997.21
"BM25(k1=1.5,b=0.25)+MeSH+PubMedBERT",0.03388605345635211,0.05212319175226868,0.144127157726086,0.07187500000000001,0.06874999999999998,0.015728185775020966,0.029011898165971536,0.06831077155462646,2795.1
TF-IDF+MeSH+BioBERT,0.032246275815379095,0.05497241799348822,0.1381757185583677,0.07812500000000001,0.07812499999999999,0.01067622244451055,0.018928320330768255,0.06968319042887347,1634.48
"BM25(k1=1.5,b=0.25)+MeSH+BioBERT",0.024478950844297014,0.03885875365735025,0.12112196420386721,0.056250000000000015,0.06562499999999999,0.008937947915058383,0.01894983915702377,0.055242835376395696,2803.65
"BM25(k1=2.0,b=0.25)+MeSH+BioBERT",0.024337218267023782,0.03603677544304507,0.12016731465838702,0.059375000000000004,0.0671875,0.008843089374476159,0.017456784836473314,0.058620636717309084,1058.11
